Frame,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz
429728,-0.0957866,0.8788091,0.1254048,-0.4503256,-70.222,-2.953,4.809,0.0093204,0.6648428,0.7467157,0.0176875,-84.053,-6.928,-52.113,0.6827793,-0.6669266,0.1667532,0.247416,47.487,4.566,-377.047,0.0457188,0.45061,-0.8911419,-0.0269561,-178.206,26.966,172.021
429736,-0.095594,0.8787174,0.125408,-0.4505444,-70.167,-2.958,4.812,0.009632,0.665032,0.7465543,0.0172122,-83.959,-6.928,-52.04,0.6832529,-0.6663314,0.1669055,0.2476096,47.429,4.634,-376.978,0.0459513,0.4501198,-0.891406,-0.0259977,-177.987,27.229,172.009
429744,-0.0958578,0.878744,0.125586,-0.450387,-70.16,-3.154,4.892,0.0099948,0.6653161,0.7462991,0.0170977,-83.982,-7.168,-51.904,0.6832723,-0.6661093,0.167444,0.2477901,47.293,4.449,-377.272,0.0459052,0.4498658,-0.8915601,-0.0251824,-178.117,27.264,172.061
429752,-0.0956386,0.8786955,0.1256121,-0.4505209,-70.104,-3.214,4.893,0.0105224,0.665446,0.7461924,0.0163661,-83.915,-7.317,-51.944,0.6836902,-0.6655283,0.1678633,0.2479148,47.138,4.418,-377.307,0.0465782,0.449565,-0.891696,-0.0244965,-178.019,27.51,171.95
429760,-0.0957203,0.8786165,0.1257816,-0.4506103,-69.936,-3.17,4.839,0.0107258,0.6656176,0.7460449,0.0159767,-83.746,-7.257,-52.05,0.6840205,-0.6651249,0.1679416,0.2480331,47.052,4.592,-377.075,0.046755,0.4493312,-0.8918265,-0.0236827,-177.774,27.778,171.781
429768,-0.0958011,0.8786363,0.1260755,-0.4504724,-69.803,-3.084,4.932,0.010836,0.6656851,0.745984,0.0159326,-83.573,-7.08,-51.985,0.6841892,-0.6649706,0.1679192,0.2479969,47.04,4.586,-376.91,0.0462487,0.449132,-0.8919784,-0.0227158,-177.611,27.891,171.858
429776,-0.0960171,0.8785234,0.1264178,-0.4505506,-69.782,-3.187,4.965,0.0108645,0.6655531,0.7461081,0.015615,-83.699,-7.282,-51.934,0.6843159,-0.6647822,0.167915,0.2481551,47.021,4.556,-377.173,0.0462597,0.4492499,-0.8919305,-0.0222371,-177.748,27.818,171.961
429784,-0.095877,0.8784642,0.1264349,-0.4506911,-69.723,-3.221,4.943,0.0110826,0.665674,0.7460094,0.0150123,-83.678,-7.467,-52.045,0.6846219,-0.6644044,0.1679657,0.2482883,46.945,4.641,-377.232,0.0465775,0.4492736,-0.8919127,-0.021804,-177.701,27.916,171.9
429792,-0.0958287,0.8783705,0.1263763,-0.4509004,-69.554,-3.171,4.814,0.0110396,0.6655795,0.7461027,0.0145872,-83.599,-7.385,-52.239,0.6849228,-0.6641399,0.1677352,0.248322,46.931,4.89,-377.01,0.0467374,0.4494109,-0.8918382,-0.0216802,-177.555,28.03,171.768
429800,-0.0958852,0.8783542,0.1266357,-0.4508473,-69.52,-3.129,4.839,0.0109781,0.6654299,0.7462376,0.0145566,-83.546,-7.266,-52.258,0.6849891,-0.6641348,0.1675205,0.2482979,46.987,4.952,-376.923,0.0461517,0.449471,-0.8918457,-0.0213811,-177.519,27.996,171.891
429808,-0.0959257,0.8783521,0.1269756,-0.4507473,-69.619,-3.189,4.918,0.0109962,0.6652361,0.7464102,0.0145584,-83.633,-7.456,-52.186,0.6849469,-0.6641894,0.167465,0.2483055,47.005,4.875,-377.159,0.045855,0.4495835,-0.8918112,-0.0210899,-177.662,27.869,172.039
429816,-0.0957553,0.878313,0.1269249,-0.4508739,-69.659,-3.175,4.832,0.010837,0.6651109,0.7465258,0.0144641,-83.772,-7.566,-52.271,0.6849445,-0.6643093,0.1671902,0.2481766,47.082,4.932,-377.22,0.0459516,0.4500387,-0.891575,-0.0211572,-177.807,27.748,171.998
429824,-0.0957438,0.8783038,0.1270301,-0.4508647,-69.656,-3.098,4.801,0.0105226,0.6647377,0.74686,0.0145989,-83.712,-7.389,-52.428,0.6848475,-0.6645876,0.1667478,0.2479966,47.158,5.077,-377,0.0458906,0.4506536,-0.8912387,-0.0223369,-177.808,27.688,171.996
429832,-0.0956818,0.878284,0.1269436,-0.4509408,-69.687,-3.036,4.785,0.0100743,0.6644295,0.7471367,0.0147874,-83.764,-7.205,-52.47,0.6847779,-0.6648269,0.1662112,0.2479077,47.306,5.197,-376.962,0.0455171,0.4508947,-0.8911337,-0.0224239,-177.833,27.491,172.056
429840,-0.0956961,0.8783574,0.1269283,-0.450799,-69.842,-3.11,4.849,0.0098729,0.6643128,0.7472356,0.0151652,-83.913,-7.348,-52.363,0.684465,-0.6651897,0.1661336,0.2478506,47.369,5.069,-377.225,0.045302,0.4511189,-0.891016,-0.0230194,-178.06,27.252,172.202
429848,-0.0955248,0.8783314,0.1266706,-0.4509585,-69.891,-3.126,4.761,0.0097457,0.6642309,0.7473125,0.0150419,-84.002,-7.452,-52.457,0.6844121,-0.6652965,0.1659728,0.2478178,47.402,5.102,-377.3,0.0456467,0.4514377,-0.890817,-0.0237772,-178.15,27.155,172.182
429856,-0.0953382,0.8784156,0.1262136,-0.4509621,-69.882,-2.992,4.725,0.009451,0.6641009,0.747426,0.0153306,-83.938,-7.252,-52.52,0.6842323,-0.6655985,0.1657288,0.2476667,47.476,5.165,-377.04,0.0455259,0.4515861,-0.8907205,-0.0247857,-178.047,27.181,172.201
429864,-0.0954469,0.8784169,0.1263644,-0.4508943,-69.994,-2.976,4.761,0.0091098,0.6639022,0.7475973,0.0157837,-83.953,-7.052,-52.492,0.6839744,-0.665985,0.1654475,0.2475282,47.59,5.154,-376.997,0.0453253,0.4517679,-0.8906203,-0.0254342,-178.104,27.017,172.262
429872,-0.0954187,0.8784938,0.1262537,-0.4507815,-70.097,-3.001,4.809,0.0090943,0.6638903,0.7476049,0.0159315,-84.091,-7.25,-52.408,0.6838078,-0.6661238,0.1655237,0.2475639,47.619,5.046,-377.267,0.0451608,0.4517727,-0.8906198,-0.0256597,-178.266,26.898,172.4
429880,-0.0953152,0.8784779,0.1258556,-0.4509456,-70.226,-3.051,4.716,0.0088622,0.6639483,0.7475542,0.0160269,-84.287,-7.431,-52.443,0.6836037,-0.6663633,0.1654082,0.2475602,47.672,5.049,-377.389,0.0456664,0.4518207,-0.8905575,-0.0260762,-178.34,26.789,172.287
429888,-0.0955071,0.8785158,0.1259368,-0.4508085,-70.22,-2.972,4.694,0.0085375,0.6639454,0.7475491,0.0165543,-84.215,-7.185,-52.505,0.6832474,-0.6668385,0.1652377,0.2473781,47.706,5.052,-377.154,0.0457133,0.4520407,-0.8904116,-0.0271425,-178.296,26.717,172.201
429896,-0.0956583,0.8785955,0.1260247,-0.4505965,-70.282,-2.937,4.754,0.0083659,0.6638515,0.7476202,0.017181,-84.202,-7.013,-52.381,0.6829512,-0.6671504,0.1652941,0.2473174,47.724,4.983,-377.101,0.0454611,0.4518776,-0.8904954,-0.0275299,-178.286,26.629,172.214
429904,-0.095656,0.8785881,0.1260908,-0.4505928,-70.374,-2.991,4.759,0.0085082,0.6640182,0.7474684,0.0172738,-84.312,-7.152,-52.263,0.6829031,-0.6671375,0.1654869,0.247356,47.736,4.862,-377.326,0.045375,0.4516337,-0.8906331,-0.027217,-178.396,26.562,172.287
429912,-0.0956628,0.8786188,0.1258622,-0.4505956,-70.371,-3.059,4.742,0.0086613,0.6642578,0.7472534,0.0172891,-84.369,-7.319,-52.218,0.6828395,-0.6671383,0.1657354,0.2473631,47.692,4.76,-377.418,0.045795,0.4514425,-0.8906974,-0.0275803,-178.421,26.566,172.24
429920,-0.0956438,0.8787005,0.1254467,-0.4505561,-70.206,-2.983,4.735,0.0088528,0.6645679,0.7469773,0.0172076,-84.145,-7.164,-52.25,0.6828893,-0.6669672,0.1660574,0.2474712,47.563,4.754,-377.178,0.0459373,0.4511402,-0.8908344,-0.027863,-178.207,26.746,172.191
429928,-0.095514,0.8787593,0.1254229,-0.4504757,-70.156,-2.947,4.799,0.0091598,0.6646602,0.7468932,0.0171292,-83.985,-6.987,-52.193,0.6830326,-0.6667225,0.1663759,0.2475209,47.481,4.689,-377.074,0.0459806,0.4506472,-0.8911178,-0.0266833,-178.042,26.972,172.088
429936,-0.0953968,0.8787377,0.1255827,-0.4504981,-70.213,-3.064,4.821,0.0095659,0.6648452,0.7467286,0.0169048,-84.103,-7.174,-52.074,0.6832613,-0.6663726,0.1667429,0.2475852,47.429,4.589,-377.32,0.0461122,0.4503293,-0.891286,-0.0261999,-178.145,26.966,172.127
429944,-0.0953949,0.8787169,0.1254903,-0.4505648,-70.2,-3.131,4.791,0.0097682,0.6649444,0.746644,0.0166214,-84.149,-7.363,-52.071,0.6833985,-0.666123,0.1670006,0.2477042,47.356,4.578,-377.398,0.0463428,0.4500534,-0.8914356,-0.0254335,-178.12,27.078,172.044
429952,-0.0953915,0.8787223,0.1256473,-0.4505112,-70.112,-3.097,4.81,0.0100905,0.6653129,0.7463112,0.0166306,-83.906,-7.237,-52.056,0.6835259,-0.6659758,0.1672041,0.2476114,47.292,4.551,-377.135,0.0465723,0.4500129,-0.8914544,-0.0250705,-177.981,27.326,171.9
429960,-0.0953076,0.8787714,0.1256285,-0.4504384,-69.97,-3.048,4.87,0.0103802,0.6651946,0.7464179,0.0163931,-83.744,-7.061,-52.02,0.6837961,-0.6655853,0.1675245,0.2476988,47.173,4.547,-376.999,0.0467095,0.4498427,-0.891547,-0.0245692,-177.877,27.552,171.826
429968,-0.0950918,0.8787251,0.1256496,-0.4505685,-69.975,-3.149,4.879,0.0108649,0.6651848,0.7464332,0.0157683,-83.812,-7.248,-51.949,0.6842402,-0.6649737,0.1678713,0.24788,47.112,4.514,-377.23,0.0467928,0.449469,-0.8917729,-0.0230034,-177.892,27.743,171.849
429976,-0.0949955,0.8786085,0.1256312,-0.4508212,-69.943,-3.215,4.789,0.0110078,0.6653472,0.7462988,0.015163,-83.888,-7.47,-52.079,0.6845583,-0.664626,0.1677945,0.2479862,47.096,4.641,-377.306,0.047107,0.4494973,-0.8917515,-0.022634,-177.89,27.753,171.789
