t,n5 outlin,n6 outrot,n4 inlin,n1 inrot
450,0,0,0,0
600,0,0,0,0
750,0,0,0,0
900,0,0,0,0
1050,-5934,0,0,0
1200,-16214,0,0,0
1350,-26455,0,0,0
1500,-36696,0,0,0
1650,-46938,0,0,0
1800,-57182,0,0,0
1950,-67412,0,0,0
2100,-77662,0,1,0
2250,-87895,0,1,0
2400,-98138,0,2,0
2550,-108374,0,2,0
2700,-118618,0,2,0
2850,-128847,0,2,0
3000,-138636,0,2,0
3150,-140009,0,2,0
3300,-140007,0,2,0
3450,-140003,0,2,0
3600,-140001,1,2,0
3750,-138863,0,2,0
3900,-129224,0,2,0
4050,-118955,0,3,0
4200,-108710,0,4,0
4350,-98472,0,4,0
4500,-88229,0,3,0
4650,-77990,0,3,0
4800,-67749,0,2,0
4950,-57513,0,0,0
5100,-47264,0,-2,0
5250,-37053,0,-2,0
5400,-26799,0,-2,0
5550,-16558,0,-3,0
5700,-6314,0,-3,0
5850,2,0,-3,0
6000,6,0,-3,0
6150,4,0,-3,0
6300,2,0,-3,0
6450,0,0,-3,0
6600,0,0,-3,0
6750,2,0,-3,0
6900,2,0,-3,0
7050,1,0,-3,0
7200,1,0,-3,0
7350,0,0,-2,0
7500,0,0,-2,0
7650,1,0,-5460,0
7800,1,0,-15774,0
7950,1,0,-26113,0
8100,0,0,-36353,0
8250,1,0,-46632,0
8400,0,0,-56824,0
8550,0,0,-67108,0
8700,1,0,-77331,0
8850,0,0,-87590,0
9000,1,0,-97837,0
9150,0,0,-108076,0
9300,-3,0,-118298,0
9450,-3,0,-128574,0
9600,-3,0,-138402,0
9750,-2,0,-140061,0
9900,-1,0,-140061,0
10050,0,0,-140060,0
10200,0,0,-137190,0
10350,0,0,-126897,0
10500,0,0,-116527,0
10650,0,0,-106228,1
10800,0,0,-95972,1
10950,0,0,-85721,1
11100,0,0,-75491,1
11250,0,0,-65219,1
11400,0,0,-54994,1
11550,0,0,-44736,1
11700,0,0,-34508,1
11850,0,0,-24269,1
12000,0,0,-14044,1
12150,0,0,-3835,1
12300,0,0,38,1
12450,0,0,44,1
12600,0,0,42,1
12750,1,0,39,1
12900,1,0,35,1
13050,1,0,29,1
13200,2,0,22,1
13350,2,0,20,1
13500,1,0,16,1
13650,1,0,11,1
13800,1,0,7,0
13950,1,0,3,0
14100,0,-639,0,-1
14250,0,-2816,-1,-1
14400,0,-6556,-1,-1
14550,0,-11816,-1,-1
14700,0,-18607,-1,-1
14850,1,-26939,-1,-1
15000,1,-36760,-1,-1
15150,1,-47003,-1,-1
15300,1,-57237,-1,-1
15450,0,-67481,-1,-1
15600,1,-77716,0,-1
15750,0,-87961,0,-1
15900,0,-98198,0,-1
16050,0,-108441,0,-1
16200,0,-118676,0,-1
16350,0,-128921,0,-1
16500,0,-139154,-1,-1
16650,0,-149400,-1,-1
16800,0,-159636,-1,-1
16950,0,-169879,-1,-1
17100,0,-180115,0,-1
17250,0,-190360,0,-1
17400,0,-200597,0,-1
17550,0,-210840,0,-1
17700,-1,-221072,0,-1
17850,0,-231319,0,-1
18000,0,-241554,0,-1
18150,0,-251797,-1,-1
18300,0,-262036,0,-1
18450,0,-272277,0,-1
18600,0,-282516,0,-1
18750,0,-292756,0,-1
18900,0,-302993,-1,-1
19050,0,-313233,-1,-1
19200,0,-323473,0,-1
19350,0,-333717,0,-1
19500,0,-343953,0,-1
19650,0,-354197,-1,-1
19800,0,-364433,-1,-1
19950,0,-374676,0,0
20100,0,-384918,0,0
20250,0,-395154,0,0
20400,0,-405392,0,0
20550,1,-415633,0,0
20700,0,-425871,0,0
20850,0,-436112,0,0
21000,0,-446351,0,0
21150,0,-456592,0,0
21300,0,-466833,0,0
21450,0,-477070,0,0
